类别：所有类别

月份,COVID-19: (美国)
2018-10,0
2018-11,0
2018-12,0
2019-01,0
2019-02,0
2019-03,0
2019-04,0
2019-05,0
2019-06,0
2019-07,0
2019-08,0
2019-09,0
2019-10,0
2019-11,0
2019-12,0
2020-01,0
2020-02,3
2020-03,100
2020-04,98
2020-05,57
2020-06,58
2020-07,62
2020-08,63
2020-09,31
2020-10,28
2020-11,33
2020-12,35
2021-01,30
2021-02,26
2021-03,25
2021-04,42
2021-05,16
2021-06,11
2021-07,15
2021-08,25
2021-09,19
2021-10,12
2021-11,13
2021-12,17
2022-01,25
2022-02,10
2022-03,7
2022-04,7
2022-05,7
2022-06,7
2022-07,8
2022-08,6
2022-09,5
2022-10,4
2022-11,4
2022-12,4
2023-01,3
2023-02,3
2023-03,3
2023-04,2
2023-05,2
2023-06,1
2023-07,1
2023-08,2
2023-09,2
2023-10,2
2023-11,2
2023-12,2
2024-01,2
2024-02,2
2024-03,1
2024-04,1
2024-05,1
2024-06,1
2024-07,1
2024-08,2
2024-09,2
2024-10,1
2024-11,1
2024-12,1
2025-01,1
2025-02,1
2025-03,1
2025-04,1
2025-05,1
2025-06,1
2025-07,3
2025-08,2
2025-09,2
2025-10,2
2025-11,2
