Date,WeeklyRate,CumulativeRate
2020-03-07,0.1,0.1
2020-03-14,0.6,0.8
2020-03-21,2.9,3.7
2020-03-28,7.6,11.3
2020-04-04,9.5,20.8
2020-04-11,9.2,30.1
2020-04-18,9.9,39.9
2020-04-25,9.5,49.5
2020-05-02,9.4,58.9
2020-05-09,8.3,67.2
2020-05-16,7.7,74.8
2020-05-23,7.4,82.2
2020-05-30,6.1,88.4
2020-06-06,4.9,93.2
2020-06-13,4.0,97.3
2020-06-20,4.0,101.3
2020-06-27,4.6,105.8
2020-07-04,6.0,111.8
2020-07-11,7.7,119.5
2020-07-18,8.1,127.6
2020-07-25,7.6,135.2
2020-08-01,6.9,142.1
2020-08-08,6.3,148.4
2020-08-15,5.7,154.1
2020-08-22,5.2,159.3
2020-08-29,4.4,163.7
2020-09-05,4.1,167.8
2020-09-12,3.9,171.6
2020-09-19,3.8,175.5
2020-09-26,4.3,179.8
2020-10-03,4.4,4.4
2020-10-10,5.5,9.9
2020-10-17,6.3,16.2
2020-10-24,7.5,23.7
2020-10-31,9.2,32.9
2020-11-07,12.2,45.1
2020-11-14,15.8,61.0
2020-11-21,18.0,78.9
2020-11-28,18.7,97.6
2020-12-05,19.6,117.3
2020-12-12,20.1,137.4
2020-12-19,19.4,156.8
2020-12-26,19.4,176.3
2021-01-02,19.8,196.0
2021-01-09,21.0,217.0
2021-01-16,18.7,235.7
2021-01-23,16.0,251.7
2021-01-30,13.3,265.0
2021-02-06,11.5,276.6
2021-02-13,8.8,285.4
2021-02-20,7.9,293.2
2021-02-27,7.2,300.4
2021-03-06,6.2,306.6
2021-03-13,6.5,313.2
2021-03-20,7.0,320.2
2021-03-27,8.2,328.4
2021-04-03,8.8,337.2
2021-04-10,10.2,347.4
2021-04-17,10.3,357.6
2021-04-24,9.3,366.9
2021-05-01,8.2,375.0
2021-05-08,7.3,382.4
2021-05-15,5.8,388.1
2021-05-22,4.9,393.0
2021-05-29,3.8,396.8
2021-06-05,2.9,399.7
2021-06-12,2.4,402.0
2021-06-19,1.9,404.0
2021-06-26,1.8,405.8
2021-07-03,1.7,407.5
2021-07-10,2.3,409.8
2021-07-17,3.0,412.8
2021-07-24,4.2,417.0
2021-07-31,6.3,423.3
2021-08-07,8.5,431.9
2021-08-14,10.3,442.2
2021-08-21,11.6,453.8
2021-08-28,12.4,466.2
2021-09-04,12.6,478.8
2021-09-11,11.7,490.5
2021-09-18,10.4,500.9
2021-09-25,9.9,510.7
2021-10-02,9.1,519.8
2021-10-09,9.0,9.0
2021-10-16,8.6,17.6
2021-10-23,8.0,25.5
2021-10-30,8.0,33.6
2021-11-06,8.2,41.7
2021-11-13,9.6,51.3
2021-11-20,10.1,61.4
2021-11-27,10.9,72.3
2021-12-04,12.5,84.8
2021-12-11,13.5,98.3
2021-12-18,13.3,111.6
2021-12-25,16.2,127.8
2022-01-01,28.0,155.8
2022-01-08,35.6,191.4
2022-01-15,34.0,225.5
2022-01-22,27.9,253.4
2022-01-29,21.5,274.9
2022-02-05,15.2,290.1
2022-02-12,11.3,301.4
2022-02-19,7.6,308.9
2022-02-26,5.9,314.8
2022-03-05,4.4,319.2
2022-03-12,3.2,322.4
2022-03-19,2.7,325.1
2022-03-26,2.5,327.5
2022-04-02,2.2,329.7
2022-04-09,2.6,332.3
2022-04-16,3.2,335.5
2022-04-23,3.9,339.4
2022-04-30,4.8,344.2
2022-05-07,5.9,350.1
2022-05-14,7.1,357.1
2022-05-21,7.7,364.8
2022-05-28,7.5,373.8
2022-06-04,7.7,381.5
2022-06-11,7.6,389.1
2022-06-18,7.4,396.5
2022-06-25,8.3,404.9
2022-07-02,8.3,413.2
2022-07-09,9.0,422.3
2022-07-16,9.5,431.8
2022-07-23,9.7,441.5
2022-07-30,9.9,451.3
2022-08-06,9.8,461.1
2022-08-13,9.3,470.4
2022-08-20,8.8,479.1
2022-08-27,8.6,487.7
2022-09-03,7.4,495.1
2022-09-10,7.1,502.2
2022-09-17,6.6,508.7
2022-09-24,6.5,515.2
2022-10-01,6.0,521.2
2022-10-08,6.1,6.1
2022-10-15,6.3,12.5
2022-10-22,6.4,18.9
2022-10-29,6.3,25.2
2022-11-05,6.8,32.0
2022-11-12,7.0,39.0
2022-11-19,7.2,46.2
2022-11-26,7.9,54.1
2022-12-03,9.4,63.5
2022-12-10,9.5,73.0
2022-12-17,9.6,82.7
2022-12-24,9.8,92.5
2022-12-31,11.1,103.5
2023-01-07,10.3,113.9
2023-01-14,8.1,122.0
2023-01-21,6.9,128.9
2023-01-28,6.6,135.5
2023-02-04,6.2,141.7
2023-02-11,6.5,148.2
2023-02-18,6.3,154.4
2023-02-25,5.8,160.3
2023-03-04,5.5,165.8
2023-03-11,4.8,170.6
2023-03-18,4.4,175.0
2023-03-25,4.3,179.3
2023-04-01,3.7,183.0
2023-04-08,3.3,186.3
2023-04-15,3.3,189.5
2023-04-22,2.9,192.5
2023-04-29,2.5,195.0
2023-05-06,2.4,197.3
2023-05-13,2.2,199.6
2023-05-20,2.0,201.6
2023-05-27,1.9,203.5
2023-06-03,1.6,205.1
2023-06-10,1.4,206.5
2023-06-17,1.4,207.9
2023-06-24,1.4,209.2
2023-07-01,1.4,210.6
2023-07-08,1.3,212.0
2023-07-15,1.5,213.5
2023-07-22,1.7,215.2
2023-07-29,2.2,217.5
2023-08-05,2.5,220.0
2023-08-12,2.9,222.9
2023-08-19,3.3,226.2
2023-08-26,4.0,230.2
2023-09-02,4.1,234.3
2023-09-09,4.4,238.6
2023-09-16,4.4,243.1
2023-09-23,4.5,247.5
2023-09-30,4.6,252.1
2023-10-07,4.5,4.5
2023-10-14,4.2,8.7
2023-10-21,4.2,12.9
2023-10-28,4.2,17.1
2023-11-04,4.2,21.3
2023-11-11,4.7,26.0
2023-11-18,4.9,30.9
2023-11-25,5.2,36.1
2023-12-02,6.1,42.2
2023-12-09,6.2,48.4
2023-12-16,6.2,54.6
2023-12-23,6.7,61.3
2023-12-30,7.9,69.2
2024-01-06,7.8,77.0
2024-01-13,7.3,84.3
2024-01-20,6.1,90.4
2024-01-27,5.5,96.0
2024-02-03,4.9,100.9
2024-02-10,4.4,105.3
2024-02-17,4.3,109.6
2024-02-24,4.2,113.8
2024-03-02,3.6,117.4
2024-03-09,3.0,120.4
2024-03-16,2.5,122.9
2024-03-23,2.0,124.9
2024-03-30,1.8,126.6
2024-04-06,1.8,128.5
2024-04-13,1.5,130.0
2024-04-20,1.2,131.1
2024-04-27,1.3,132.4
2024-05-04,1.1,133.5
2024-05-11,1.2,134.7
2024-05-18,1.3,135.9
2024-05-25,1.3,137.3
2024-06-01,1.6,138.9
2024-06-08,1.7,140.6
2024-06-15,1.9,142.5
2024-06-22,2.1,144.6
2024-06-29,2.7,147.3
2024-07-06,3.1,150.4
2024-07-13,3.3,153.7
2024-07-20,3.4,157.1
2024-07-27,4.2,161.3
2024-08-03,4.5,165.8
2024-08-10,4.9,170.7
2024-08-17,4.8,175.5
2024-08-24,4.5,180.0
2024-08-31,4.2,184.3
2024-09-07,4.1,188.4
2024-09-14,4.4,192.8
2024-09-21,3.9,196.7
2024-09-28,3.4,200.1
2024-10-05,3.0,3.0
2024-10-12,2.6,5.5
2024-10-19,2.1,7.6
2024-10-26,2.1,9.8
2024-11-02,1.8,11.6
2024-11-09,1.8,13.3
2024-11-16,1.7,15.0
2024-11-23,1.7,16.7
2024-11-30,1.8,18.5
2024-12-07,2.1,20.6
2024-12-14,2.4,22.9
2024-12-21,2.7,25.6
2024-12-28,3.5,29.1
2025-01-04,4.2,33.3
2025-01-11,3.7,37.0
2025-01-18,3.2,40.2
2025-01-25,3.0,43.2
2025-02-01,3.0,46.2
2025-02-08,2.8,49.0
2025-02-15,2.8,51.8
2025-02-22,2.3,54.1
2025-03-01,2.2,56.3
2025-03-08,2.0,58.4
2025-03-15,2.1,60.5
2025-03-22,1.9,62.4
2025-03-29,1.8,64.2
2025-04-05,1.7,65.9
2025-04-12,1.5,67.4
2025-04-19,1.3,68.7
2025-04-26,1.3,70.0
2025-05-03,1.1,71.0
