Date,WeeklyRate,CumulativeRate
2018-10-06,0.2,0.0
2018-10-13,0.3,1.0
2018-10-20,0.3,1.0
2018-10-27,0.4,1.0
2018-11-03,0.5,2.0
2018-11-10,0.7,2.0
2018-11-17,0.7,3.0
2018-11-24,0.8,4.0
2018-12-01,1.5,5.0
2018-12-08,1.6,7.0
2018-12-15,2.3,9.0
2018-12-22,3.3,13.0
2018-12-29,4.6,17.0
2019-01-05,4.8,22.0
2019-01-12,4.3,26.0
2019-01-19,3.5,30.0
2019-01-26,3.6,33.0
2019-02-02,4.5,38.0
2019-02-09,4.9,43.0
2019-02-16,5.0,48.0
2019-02-23,5.8,54.0
2019-03-02,5.699999999999999,59.0
2019-03-09,6.0,65.0
2019-03-16,6.2,72.0
2019-03-23,5.5,77.0
2019-03-30,4.1,81.0
2019-04-06,3.1,84.0
2019-04-13,2.1,86.0
2019-04-20,1.4,88.0
2019-04-27,0.7,88.0
2019-05-04,0.3,89.0
2019-10-05,0.2,0.0
2019-10-12,0.3,1.0
2019-10-19,0.5,1.0
2019-10-26,0.5,2.0
2019-11-02,0.6000000000000001,2.0
2019-11-09,0.8999999999999999,3.0
2019-11-16,1.2000000000000002,4.0
2019-11-23,1.4,6.0
2019-11-30,2.0,8.0
2019-12-07,3.1,11.0
2019-12-14,3.4,14.0
2019-12-21,4.2,18.0
2019-12-28,6.7,25.0
2020-01-04,7.9,33.0
2020-01-11,6.5,39.0
2020-01-18,6.0,45.0
2020-01-25,6.4,52.0
2020-02-01,7.0,59.0
2020-02-08,7.5,66.0
2020-02-15,6.4,73.0
2020-02-22,6.2,79.0
2020-02-29,5.4,84.0
2020-03-07,5.1,89.0
2020-03-14,4.2,94.0
2020-03-21,4.8,98.0
2020-03-28,8.2,107.0
2020-04-04,9.8,116.0
2020-04-11,9.4,126.0
2020-04-18,10.0,136.0
2020-04-25,9.5,145.0
2020-05-02,9.4,155.0
2020-05-09,8.3,163.0
2020-05-16,7.7,171.0
2020-05-23,7.4,178.0
2020-05-30,6.1,184.0
2020-06-06,4.9,189.0
2020-06-13,4.0,193.0
2020-06-20,4.0,197.0
2020-06-27,4.6,202.0
2020-07-04,6.0,208.0
2020-07-11,7.7,215.0
2020-07-18,8.1,223.0
2020-07-25,7.6,231.0
2020-08-01,6.9,238.0
2020-08-08,6.3,244.0
2020-08-15,5.7,250.0
2020-08-22,5.2,255.0
2020-08-29,4.4,260.0
2020-09-05,4.1,264.0
2020-09-12,3.9,268.0
2020-09-19,3.8,271.0
2020-09-26,4.3,276.0
2020-10-03,4.4,4.0
2020-10-10,5.5,10.0
2020-10-17,6.3,16.0
2020-10-24,7.5,24.0
2020-10-31,9.2,33.0
2020-11-07,12.2,45.0
2020-11-14,15.8,61.0
2020-11-21,18.0,79.0
2020-11-28,18.7,98.0
2020-12-05,19.700000000000003,117.0
2020-12-12,20.1,137.0
2020-12-19,19.4,157.0
2020-12-26,19.4,176.0
2021-01-02,19.9,196.0
2021-01-09,21.0,217.0
2021-01-16,18.7,236.0
2021-01-23,16.0,252.0
2021-01-30,13.3,265.0
2021-02-06,11.5,277.0
2021-02-13,8.8,285.0
2021-02-20,7.9,293.0
2021-02-27,7.2,300.0
2021-03-06,6.2,307.0
2021-03-13,6.5,313.0
2021-03-20,7.0,320.0
2021-03-27,8.2,328.0
2021-04-03,8.8,337.0
2021-04-10,10.3,347.0
2021-04-17,10.3,358.0
2021-04-24,9.3,367.0
2021-05-01,8.299999999999999,375.0
2021-05-08,7.399999999999999,383.0
2021-05-15,6.0,389.0
2021-05-22,5.1000000000000005,394.0
2021-05-29,4.0,398.0
2021-06-05,3.1,401.0
2021-06-12,2.6,404.0
2021-06-19,2.2,406.0
2021-06-26,2.1,408.0
2021-07-03,2.1,410.0
2021-07-10,2.7,413.0
2021-07-17,3.6,416.0
2021-07-24,5.0,421.0
2021-07-31,7.1,428.0
2021-08-07,9.4,438.0
2021-08-14,11.2,449.0
2021-08-21,12.4,461.0
2021-08-28,13.3,475.0
2021-09-04,13.5,488.0
2021-09-11,12.6,501.0
2021-09-18,11.2,512.0
2021-09-25,10.7,523.0
2021-10-02,10.1,533.0
2021-10-09,9.9,10.0
2021-10-16,9.6,20.0
2021-10-23,9.0,29.0
2021-10-30,9.0,38.0
2021-11-06,9.3,47.0
2021-11-13,10.8,58.0
2021-11-20,11.4,69.0
2021-11-27,12.2,81.0
2021-12-04,14.1,95.0
2021-12-11,15.2,111.0
2021-12-18,15.1,126.0
2021-12-25,18.0,144.0
2022-01-01,30.1,174.0
2022-01-08,37.1,211.0
2022-01-15,34.9,246.0
2022-01-22,28.6,274.0
2022-01-29,21.9,296.0
2022-02-05,15.599999999999998,312.0
2022-02-12,11.6,323.0
2022-02-19,8.0,331.0
2022-02-26,6.4,338.0
2022-03-05,4.8,343.0
2022-03-12,3.8,346.0
2022-03-19,3.5000000000000004,350.0
2022-03-26,3.3000000000000003,353.0
2022-04-02,3.3000000000000003,356.0
2022-04-09,3.9,360.0
2022-04-16,4.500000000000001,365.0
2022-04-23,5.3,370.0
2022-04-30,6.2,376.0
2022-05-07,7.1,383.0
2022-05-14,8.299999999999999,392.0
2022-05-21,8.7,400.0
2022-05-28,8.299999999999999,409.0
2022-06-04,8.5,417.0
2022-06-11,8.2,425.0
2022-06-18,7.800000000000001,433.0
2022-06-25,8.600000000000001,442.0
2022-07-02,8.5,450.0
2022-07-09,9.3,460.0
2022-07-16,9.9,470.0
2022-07-23,10.1,480.0
2022-07-30,10.3,490.0
2022-08-06,10.2,500.0
2022-08-13,9.7,510.0
2022-08-20,9.2,519.0
2022-08-27,9.1,528.0
2022-09-03,7.9,536.0
2022-09-10,7.699999999999999,544.0
2022-09-17,7.5,551.0
2022-09-24,7.5,559.0
2022-10-01,7.2,566.0
2022-10-08,8.1,8.0
2022-10-15,9.4,18.0
2022-10-22,10.1,28.0
2022-10-29,11.6,39.0
2022-11-05,13.8,53.0
2022-11-12,15.3,68.0
2022-11-19,15.7,84.0
2022-11-26,18.9,103.0
2022-12-03,22.3,125.0
2022-12-10,20.2,145.0
2022-12-17,18.6,164.0
2022-12-24,17.2,181.0
2022-12-31,18.0,199.0
2023-01-07,14.8,214.0
2023-01-14,10.6,225.0
2023-01-21,8.6,233.0
2023-01-28,7.899999999999999,241.0
2023-02-04,7.2,248.0
2023-02-11,7.399999999999999,256.0
2023-02-18,7.199999999999999,263.0
2023-02-25,6.5,269.0
2023-03-04,6.0,275.0
2023-03-11,5.4,281.0
2023-03-18,5.0,286.0
2023-03-25,4.8,291.0
2023-04-01,4.1000000000000005,295.0
2023-04-08,3.7,298.0
2023-04-15,3.6,302.0
2023-04-22,3.2,305.0
2023-04-29,2.7,308.0
2023-05-06,2.5,310.0
2023-05-13,2.3000000000000003,313.0
2023-05-20,2.1,315.0
2023-05-27,2.0,317.0
2023-06-03,1.6,318.0
2023-06-10,1.5,320.0
2023-06-17,1.4,321.0
2023-06-24,1.5,323.0
2023-07-01,1.5,324.0
2023-07-08,1.3,326.0
2023-07-15,1.5,327.0
2023-07-22,1.8,329.0
2023-07-29,2.3000000000000003,331.0
2023-08-05,2.6,334.0
2023-08-12,3.0,337.0
2023-08-19,3.5,340.0
2023-08-26,4.2,345.0
2023-09-02,4.4,349.0
2023-09-09,4.800000000000001,354.0
2023-09-16,4.800000000000001,359.0
2023-09-23,5.1,364.0
2023-09-30,5.3,369.0
2023-10-07,5.6000000000000005,6.0
2023-10-14,5.5,11.0
2023-10-21,5.8,17.0
2023-10-28,5.9,23.0
2023-11-04,6.300000000000001,29.0
2023-11-11,7.7,37.0
2023-11-18,8.5,45.0
