类别：所有类别

月份,fever: (美国)
2018-10,38
2018-11,39
2018-12,47
2019-01,48
2019-02,53
2019-03,50
2019-04,44
2019-05,41
2019-06,39
2019-07,33
2019-08,35
2019-09,38
2019-10,38
2019-11,42
2019-12,50
2020-01,55
2020-02,59
2020-03,100
2020-04,64
2020-05,42
2020-06,41
2020-07,50
2020-08,40
2020-09,39
2020-10,44
2020-11,44
2020-12,44
2021-01,41
2021-02,38
2021-03,37
2021-04,44
2021-05,38
2021-06,37
2021-07,42
2021-08,47
2021-09,48
2021-10,43
2021-11,46
2021-12,65
2022-01,72
2022-02,42
2022-03,44
2022-04,45
2022-05,52
2022-06,50
2022-07,52
2022-08,47
2022-09,41
2022-10,50
2022-11,63
2022-12,67
2023-01,45
2023-02,47
2023-03,47
2023-04,44
2023-05,44
2023-06,40
2023-07,38
2023-08,40
2023-09,44
2023-10,44
2023-11,48
2023-12,63
2024-01,54
2024-02,51
2024-03,48
2024-04,50
2024-05,81
2024-06,94
2024-07,68
2024-08,69
2024-09,90
2024-10,45
2024-11,46
2024-12,58
2025-01,63
2025-02,67
2025-03,50
2025-04,45
2025-05,74
2025-06,81
2025-07,81
2025-08,70
2025-09,64
2025-10,45
2025-11,44
