类别：所有类别

月份,flu: (美国)

2018-10,22
2018-11,15
2018-12,17
2019-01,21
2019-02,26
2019-03,18
2019-04,9
2019-05,6
2019-06,4
2019-07,4
2019-08,5
2019-09,13
2019-10,23
2019-11,18
2019-12,25
2020-01,37
2020-02,45
2020-03,91
2020-04,42
2020-05,21
2020-06,11
2020-07,17
2020-08,16
2020-09,23
2020-10,29
2020-11,18
2020-12,17
2021-01,12
2021-02,9
2021-03,7
2021-04,7
2021-05,6
2021-06,7
2021-07,6
2021-08,11
2021-09,17
2021-10,20
2021-11,16
2021-12,20
2022-01,17
2022-02,8
2022-03,10
2022-04,11
2022-05,9
2022-06,6
2022-07,6
2022-08,6
2022-09,13
2022-10,23
2022-11,34
2022-12,32
2023-01,13
2023-02,10
2023-03,8
2023-04,6
2023-05,5
2023-06,5
2023-07,4
2023-08,6
2023-09,13
2023-10,16
2023-11,16
2023-12,23
2024-01,18
2024-02,16
2024-03,11
2024-04,9
2024-05,7
2024-06,6
2024-07,5
2024-08,6
2024-09,11
2024-10,14
2024-11,13
2024-12,23
2025-01,34
2025-02,43
2025-03,19
2025-04,9
2025-05,7
2025-06,5
2025-07,5
2025-08,7
2025-09,13
2025-10,15
2025-11,14
