类别：所有类别

月份,loss of smell: (美国)
2018-10,4
2018-11,4
2018-12,4
2019-01,4
2019-02,4
2019-03,4
2019-04,5
2019-05,5
2019-06,5
2019-07,4
2019-08,4
2019-09,4
2019-10,4
2019-11,4
2019-12,4
2020-01,4
2020-02,4
2020-03,49
2020-04,41
2020-05,17
2020-06,29
2020-07,50
2020-08,27
2020-09,25
2020-10,40
2020-11,80
2020-12,100
2021-01,76
2021-02,36
2021-03,25
2021-04,30
2021-05,21
2021-06,18
2021-07,26
2021-08,55
2021-09,49
2021-10,36
2021-11,41
2021-12,67
2022-01,76
2022-02,21
2022-03,14
2022-04,17
2022-05,20
2022-06,20
2022-07,22
2022-08,18
2022-09,15
2022-10,15
2022-11,16
2022-12,22
2023-01,16
2023-02,14
2023-03,13
2023-04,12
2023-05,11
2023-06,9
2023-07,9
2023-08,11
2023-09,12
2023-10,12
2023-11,13
2023-12,17
2024-01,14
2024-02,13
2024-03,10
2024-04,10
2024-05,9
2024-06,9
2024-07,10
2024-08,9
2024-09,9
2024-10,8
2024-11,8
2024-12,11
2025-01,11
2025-02,11
2025-03,10
2025-04,10
2025-05,9
2025-06,8
2025-07,8
2025-08,8
2025-09,8
2025-10,8
2025-11,7
